dimension = 40; 
values = [
[9,29,41,13,2,22,18,41,25,22,5,48,31,49,2,38,26,7,40,35,12,27,9,21,12,32,44,33,30,20,41,23,29,14,22,10,34,37,46,10],
[24,2,12,3,49,17,10,26,30,16,28,17,37,44,11,39,14,16,20,9,47,3,45,37,7,4,16,24,20,16,31,3,25,1,36,20,27,25,21,33],
[48,28,45,45,32,41,36,20,35,47,25,25,38,50,21,9,25,2,48,20,16,19,48,50,50,15,2,11,24,18,10,46,15,25,21,45,22,28,32,26],
[36,47,35,50,42,16,10,45,2,49,45,47,30,47,26,33,6,44,39,32,21,2,1,20,47,48,4,31,12,32,40,46,50,45,43,46,48,25,1,8],
[23,9,30,8,45,29,14,4,12,4,44,33,27,42,42,49,12,6,37,3,12,2,38,1,13,9,23,23,20,43,41,50,48,10,25,43,17,24,6,16],
[45,44,7,40,2,43,15,34,19,24,46,48,20,5,33,32,41,16,34,44,17,20,1,45,40,40,28,44,32,8,33,25,21,2,30,43,13,10,35,50],
[29,34,37,39,28,36,17,18,34,26,43,43,42,44,20,43,4,42,13,26,43,26,35,43,39,12,44,15,13,4,18,16,49,28,20,30,32,3,48,47],
[47,43,21,18,16,3,27,13,33,46,32,3,44,40,30,24,15,40,31,48,13,37,22,14,28,48,15,8,46,33,18,45,6,18,4,50,42,49,2,34],
[26,11,13,47,12,5,36,21,3,4,15,11,25,39,20,1,38,17,48,37,14,23,34,26,28,3,21,10,45,35,45,36,33,23,15,10,48,19,23,28],
[23,43,3,12,42,13,38,25,37,36,40,32,34,20,7,35,4,16,8,25,4,32,21,23,13,50,9,25,43,46,50,40,13,4,42,34,4,9,8,49],
[4,18,19,1,3,44,37,33,3,6,29,37,38,34,17,5,23,22,49,31,3,19,9,4,44,1,2,46,3,33,36,19,17,43,19,19,19,23,35,44],
[7,8,28,13,46,19,18,19,13,41,34,34,7,30,23,39,26,38,34,32,43,22,39,17,8,7,15,45,37,18,35,4,14,7,12,38,12,39,26,17],
[41,14,1,8,40,27,25,5,47,14,31,49,49,7,9,46,44,48,19,7,25,15,48,42,6,16,22,36,29,2,28,1,15,26,39,31,8,16,47,23],
[2,32,47,10,30,32,29,43,40,1,38,34,23,31,50,22,46,13,40,48,20,1,27,19,35,5,50,33,31,33,21,33,7,17,23,9,26,9,3,50],
[27,20,41,26,22,28,11,40,35,50,44,22,6,9,32,41,1,7,35,8,25,47,4,8,31,48,48,40,27,10,43,28,2,46,39,41,21,30,14,28],
[47,12,18,42,37,48,44,24,4,1,15,36,27,29,4,49,31,12,1,31,47,36,23,8,49,24,6,45,27,44,19,24,10,7,10,18,32,49,16,10],
[48,45,13,23,38,16,15,31,32,45,1,26,32,12,6,39,27,21,36,16,18,16,27,44,6,9,8,31,18,5,7,35,47,22,34,22,42,40,14,26]
];
